Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00000.ppm;37;33;6;5;32;28;28
00000_00001.ppm;36;33;5;5;31;28;28
00000_00002.ppm;37;35;5;6;32;30;28
00000_00003.ppm;38;35;6;6;33;30;28
00000_00004.ppm;38;35;5;5;32;29;28
00000_00005.ppm;38;37;5;6;32;31;28
00000_00006.ppm;38;37;5;5;32;31;28
00000_00007.ppm;38;38;5;6;33;33;28
00000_00008.ppm;39;37;5;5;33;32;28
00000_00009.ppm;41;38;6;5;35;33;28
00000_00010.ppm;40;40;5;6;34;34;28
00000_00011.ppm;41;40;6;6;36;35;28
00000_00012.ppm;40;39;5;5;35;34;28
00000_00013.ppm;41;39;6;5;36;34;28
00000_00014.ppm;43;39;6;5;37;33;28
00000_00015.ppm;42;38;5;5;37;33;28
00000_00016.ppm;42;40;5;6;37;35;28
00000_00017.ppm;43;43;5;6;38;38;28
00000_00018.ppm;45;43;6;6;39;38;28
00000_00019.ppm;45;42;5;5;40;37;28
00000_00020.ppm;46;44;6;6;41;38;28
00000_00021.ppm;46;45;5;6;41;39;28
00000_00022.ppm;49;46;6;6;43;41;28
00000_00023.ppm;48;45;5;5;43;40;28
00000_00024.ppm;50;46;6;5;45;40;28
00000_00025.ppm;49;47;5;6;44;41;28
00000_00026.ppm;50;47;6;6;45;42;28
00000_00027.ppm;53;49;6;6;47;44;28
00000_00028.ppm;53;51;5;6;48;46;28
00000_00029.ppm;55;52;6;6;50;47;28
00001_00000.ppm;36;34;5;6;31;29;28
00001_00001.ppm;36;34;5;6;31;29;28
00001_00002.ppm;38;34;6;5;33;29;28
00001_00003.ppm;39;35;6;5;34;29;28
00001_00004.ppm;39;35;6;5;34;30;28
00001_00005.ppm;39;36;5;6;34;31;28
00001_00006.ppm;40;36;5;5;34;31;28
00001_00007.ppm;41;37;5;6;35;32;28
00001_00008.ppm;43;37;6;5;37;32;28
00001_00009.ppm;45;39;6;5;39;34;28
00001_00010.ppm;45;40;6;6;40;35;28
00001_00011.ppm;46;40;6;5;40;35;28
00001_00012.ppm;48;42;6;5;42;37;28
00001_00013.ppm;48;43;5;5;42;38;28
00001_00014.ppm;50;45;6;5;45;40;28
00001_00015.ppm;52;46;6;5;47;41;28
00001_00016.ppm;52;49;5;6;47;43;28
00001_00017.ppm;55;50;6;6;49;45;28
00001_00018.ppm;55;51;6;6;50;46;28
00001_00019.ppm;58;54;6;6;52;49;28
00001_00020.ppm;59;56;6;5;54;51;28
00001_00021.ppm;62;58;6;5;57;53;28
00001_00022.ppm;69;60;7;5;62;55;28
00001_00023.ppm;72;62;7;5;65;57;28
00001_00024.ppm;76;69;6;7;69;63;28
00001_00025.ppm;81;71;7;6;74;65;28
00001_00026.ppm;84;74;8;7;77;68;28
00001_00027.ppm;94;81;9;7;86;74;28
